Sid,Satt,Sspe,Sshar,Saff
78,672,Blastblight,Green/Blue,0
79,768,Blastblight,Blue/White,0
80,576,Water,Green/Green,0
81,672,Water,Green/Blue,0
82,768,Water,Blue/White,0
83,864,Water,Blue/White,0
84,480,Ice,Green/Green,0
85,672,Ice,Green/Blue,0
86,816,Dragon,Blue/Blue,-5
87,864,Dragon,Blue/Bllue,-5
88,912,Dragon,Blue/White,0
89,1104,,Yellow/Green,30
90,624,Paralysis,Blue/Blue,0
91,768,Paralysis,Blue/Blue,0
92,672,Ice,White/White,0
93,912,Paralysis,Blue/Blue,-20
94,1008,Paralysis,Blue/Blue,-10
95,864,Dragon,Blue/Purple,0
96,240,,Orange/Yellow,0
97,288,,Orange/Green,0
98,480,Dragon,Green/Blue,0
99,672,Dragon,White/White,0
100,768,Ice,White/White,5
101,864,Ice,White/White,10
102,240,,Orange/Orange,-10
103,384,,Orange/Yellow,-10
104,720,Dragon,Blue/White,0
105,816,Blastblight,Blue/Blue,0
106,864,Blastblight,Blue/White,0
107,576,,Green/Green,0
108,912,Paralysis,Blue/Blue,0
109,672,Blastblight,Blue/White,0
110,768,Blastblight,White/White,0
111,1104,,Green/Blue,-70
112,768,Ice,Blue/White,0
113,576,Paralysis,Green/Green,5
114,672,Paralysis,Blue/White,15
